source,target
app.main,app.config
app.main,app.version
app.main,app.routers.health
app.main,app.routers.courses
app.main,app.routers.spark_chat
app.main,app.routers.admin
app.main,app.routers.skills
app.main,app.routers.generation_v3
app.main,app.routers.study_course
app.main,app.services.claude_client
app.main,app.services.rate_limiter
app.main,app.services.database
app.main,app.services.project_cost_aggregator
app.main,app.middleware.tracing
app.main,app.routers.llm
app.main,app.routers.mcp
app.services.v3.pipeline_orchestrator,app.models.pipeline_v3
app.services.v3.pipeline_orchestrator,app.skills
app.services.v3.pipeline_orchestrator,app.services.llm
app.services.v3.pipeline_orchestrator,app.services.v3.bible_generator
app.services.v3.pipeline_orchestrator,app.services.v3.domain_classifier
app.services.v3.pipeline_orchestrator,app.services.v3.graph_filter
app.services.v3.pipeline_orchestrator,app.services.v3.idea_spec_builder
app.services.v3.pipeline_orchestrator,app.services.v3.knowledge_graph_extractor
app.services.v3.pipeline_orchestrator,app.services.v3.lesson_generation_runner
app.services.v3.pipeline_orchestrator,app.services.v3.plan_reviewer
app.services.v3.pipeline_orchestrator,app.services.v3.variant_plan_builder
app.services.v3.pipeline_orchestrator,app.services.v3.wave_orchestrator
app.services.study.study_course_service,app.services.llm
app.services.study.study_course_service,app.services.study.course_helpers
app.services.study.study_course_service,app.services.study.course_repository
app.services.study.study_course_service,app.services.study.message_processor
app.services.study.study_course_service,app.services.study.specialist_router
app.services.study.study_course_service,app.services.llm_tracker
app.services.study.study_course_service,app.services.redis_client
app.services.study.study_course_service,app.middleware.tracing
app.services.study.study_course_service,app.utils
