source,target,type,weight,line
app.agents,app.agents.create_lesson_pipeline,defines,1,20
app.agents,app.agents.create_outline_pipeline,defines,1,14
app.agents.base,app.agents.base.AgentMessage,defines,2,31
app.agents.base,app.agents.base.AgentResult,defines,2,51
app.agents.base,app.agents.base.BaseAgent,defines,1,134
app.agents.base,app.agents.base.__init__,defines,1,143
app.agents.base,app.agents.base._call_llm,defines,1,176
app.agents.base,app.agents.base._create_message,defines,1,237
app.agents.base,app.agents.base._create_result,defines,1,260
app.agents.base,app.agents.base._merge_usage,defines,2,67
app.agents.base,app.agents.base._usage_to_trace_payload,defines,2,82
app.agents.base,app.agents.base.build_agent_trace,defines,2,93
app.agents.base,app.agents.base.execute,defines,1,162
app.agents.base,app.agents.base.role,defines,1,157
app.agents.base,app.llm.adapter.chat,calls,1,214
app.agents.base,app.services.claude_types.LLMUsage,calls,1,73
app.agents.base,app.services.llm.base.CacheConfig,calls,1,198
app.agents.base,app.services.llm.base.LLMUsage,calls,1,73
app.agents.base,app.services.llm.base.Message,calls,1,197
app.agents.base,app.services.llm.base.chat,calls,1,214
app.agents.base,app.services.llm.base.chat_with_schema,calls,1,205
app.agents.base,app.services.llm.providers.anthropic.chat,calls,1,214
app.agents.base,app.services.llm.providers.anthropic.chat_with_schema,calls,1,205
app.agents.base,app.services.llm.providers.gemini.chat,calls,1,214
app.agents.base,app.services.llm.providers.openai.chat,calls,1,214
app.agents.base,app.services.llm.tracked.chat,calls,1,214
app.agents.base,app.skills.trace.ExecutionTrace,calls,1,131
app.agents.base,app.skills.trace.ExecutionTraceEntry,calls,1,117
app.agents.factory,app.agents.factory._create_client,defines,2,62
app.agents.factory,app.agents.factory._load_llm_client_factory,defines,2,80
app.agents.factory,app.agents.factory._load_persona,defines,2,49
app.agents.factory,app.agents.factory.create_lesson_pipeline,defines,1,172
app.agents.factory,app.agents.factory.create_outline_pipeline,defines,1,89
app.agents.factory,app.agents.pipeline.AgentPipeline,calls,1,163
app.agents.factory,app.agents.pipeline.PipelineConfig,calls,1,120
app.agents.factory,app.agents.stages.lesson_agents.LessonGenerator,calls,1,216
app.agents.factory,app.agents.stages.lesson_agents.LessonPlanner,calls,1,209
app.agents.factory,app.agents.stages.lesson_agents.LessonRefiner,calls,1,230
app.agents.factory,app.agents.stages.lesson_agents.LessonReviewer,calls,1,223
app.agents.factory,app.agents.stages.outline_agents.OutlineGenerator,calls,1,133
app.agents.factory,app.agents.stages.outline_agents.OutlinePlanner,calls,1,126
app.agents.factory,app.agents.stages.outline_agents.OutlineRefiner,calls,1,147
app.agents.factory,app.agents.stages.outline_agents.OutlineReviewer,calls,1,140
app.agents.factory,app.config.get_settings,calls,1,68
app.agents.factory,app.services.config_client.get,calls,1,72
app.agents.factory,app.services.llm.base.get,calls,1,72
app.agents.factory,app.services.llm.factory.create,calls,1,77
app.agents.factory,app.services.llm.factory.create_for_operation,calls,1,74
app.agents.factory,app.services.outline_generator.OutlineGenerator,calls,1,133
app.agents.factory,app.services.redis_client.get,calls,1,72
app.agents.factory,app.services.study.stream_metadata_store.get,calls,1,72
app.agents.factory,app.services.tracked_anthropic.create,calls,1,77
app.agents.factory,app.services.v3.lesson_generator.LessonGenerator,calls,1,216
app.agents.factory,app.services.v3.lesson_reviewer.LessonReviewer,calls,1,223
app.agents.factory,app.skills.registry.get,calls,1,72
